,TRUE VALUE,SiO2 (wt. %),TiO2 (wt. %),Al2O3 (wt. %),Cr2O3 (wt. %),FeO (wt. %),MnO (wt. %),MgO (wt. %),CaO (wt. %),Na2O  (wt. %),IV (Al),H2O (wt. %),km_clustering_label,ap_clustering_label
1860,1,51.643,1.072,2.941,0.861,6.327,0.122,14.342,22.006,0.365,0.0858858079676152,0.0337744251279694,1,6
1861,1,51.56,0.961,2.323,0.582,6.6,0.16,14.958,21.577,0.374,0.0772100022646789,0.0232866008462623,1,6
1862,1,49.706,2.113,4.05,0.134,5.699,0.041,13.24,23.941,0.593,0.143798253646349,0.0242595204513399,0,1
1863,1,53.492,0.262,2.209,0.873,3.368,0.048,17.148,22.449,0.165,0.0555342085914909,0.031661401811421,1,5
1864,1,50.899,1.124,3.216,0.031,6.887,0.086,15.902,21.008,0.242,0.108896928903792,0.00460925411149301,1,6
1865,1,49.773,2.403,3.947,0.055,7.088,0.081,13.505,23.196,0.376,0.151378558527296,0.055797517010493,0,1
1866,1,47.444,2.251,9.002,0.157,6.717,0.075,12.097,20.883,0.933,0.236550963555538,0.0559456340556482,0,7
1867,1,50.439,1.314,3.891,0.157,6.952,0.091,15.336,21.077,0.232,0.125841446029681,0.00390265551286416,1,6
1868,1,48.563,2.516,5.204,0.096,6.918,0.128,12.608,23.835,0.518,0.189710797803239,0.0182715732786255,0,1
1869,1,49.907,2.216,4.004,0.089,6.452,0.086,13.229,23.777,0.537,0.146583854906399,0.0306405330480035,0,1
1870,-1,50.837,1.352,5.147,0.408,6.509,0.129,15.346,19.667,0.521,0.132525864458609,1e-07,1,6
1871,1,48.57,1.684,5.905,0.816,6.596,0.118,13.912,21.853,0.422,0.192874278671791,0.0498871650211566,0,4
1872,-1,51.23,1.624,3.172,0.223,6.61,0.135,14.293,22.123,0.4,0.100913671070347,1e-07,1,6
1873,1,48.505,2.368,5.313,0.076,7.414,0.112,12.748,22.955,0.452,0.186016797973336,0.0241789240378803,0,1
1874,-1,50.755,0.966,4.545,0.647,6.273,0.156,15.224,20.303,0.488,0.120989343910173,1e-07,1,6
1875,1,48.97793,2.48561,5.02071,0.01515,7.42754,0.08585,12.67247,22.84822,0.40198,0.170829343794936,0.0210118983038588,0,1
1876,-1,51.302,0.988,4.693,0.161,7.915,0.17,15.745,17.743,0.624,0.105031682026279,0.00987306064880113,1,2
1877,1,52.366,0.86,2.793,0.113,7.111,0.135,15.712,20.108,0.388,0.0670412457245637,0.0141999952188568,1,3
1878,1,50.478,0.979,3.617,0.117,7.497,0.175,15.195,20.586,0.423,0.112918481305558,0.00315425054494166,1,6
1879,1,51.274,0.983,2.926,0.299,6.295,0.016,15.997,21.168,0.333,0.0972033694932153,0.00474923737986683,1,6
1880,1,51.547,1.621,2.036,0.012,5.643,0.082,14.201,23.671,0.552,0.078979231447033,0.017289230629237,1,0
1881,1,52.235,1.399,1.152,0.013,6.654,0.118,13.946,22.725,0.927,0.0453001369051027,0.0183356840620592,1,0
1882,1,50.249,2.129,3.164,0.001,6.09,0.068,13.634,23.762,0.627,0.125994085963113,0.0186177715091678,0,0
1883,1,51.563,1.124,2.583,0.322,6.706,0.139,15.118,21.549,0.263,0.0829068370210335,0.0267532422855963,1,6
1884,1,51.375,0.953,2.483,0.286,8.83,0.158,16.283,19.162,0.268,0.0912432226837325,0.0109011686479952,1,2
1885,1,50.775,1.133,3.683,0.485,6.159,0.054,15.691,21.317,0.352,0.120680612425514,0.00559238363892807,1,6
1886,1,48.173,2.124,5.481,0.001,7.455,0.097,13.013,22.307,0.521,0.186395129745221,0.00617217408825307,0,1
1887,1,51.822,0.941,2.199,0.499,7.892,0.116,15.031,20.561,0.289,0.0686491187350378,0.0150021536616471,1,3
1888,1,50.826,0.906,4.522,0.532,5.876,0.058,15.369,21.441,0.299,0.127295934389962,0.039034770344024,1,4
1889,1,49.678,1.428,4.618,0.686,7.151,0.127,14.389,20.973,0.324,0.146384806559046,0.00872443582510578,0,4
1890,-1,51.407,1.087,3.192,0.145,7.217,0.157,15.069,21.254,0.399,0.0966665201469112,0.00150537051101226,1,6
1891,1,51.589,0.868,2.658,0.244,6.233,0.127,16.075,20.99,0.304,0.0838273343294824,0.00501318452198442,1,3
1892,1,51.936,0.998,3.357,0.498,6.079,0.074,15.036,21.388,0.403,0.0855269394401932,0.013688293370945,1,6
1893,1,52.555,0.508,3.237,0.39,4.691,0.051,16.298,22.057,0.144,0.079308500981973,0.0375208423522183,1,5
1894,-1,50.969,1.106,3.329,0.064,7.108,0.129,14.494,21.406,0.43,0.09578121553188,0.00172386773233036,1,6
1895,-1,50.916,1.28,3.465,0.081,8.277,0.131,14.255,20.6,0.412,0.0996546329308334,0.00229962592751579,1,6
1896,-1,49.391,1.609,4.807,0.21,7.061,0.049,13.746,22.203,0.427,0.155214148088536,0.00397486857289396,0,4
1897,1,51.472,1.188,3.262,0.816,5.541,0.085,13.925,23.329,0.533,0.0987841681174573,0.0161559174253109,1,0
1898,1,49.962,1.081,3.624,0.551,6.128,0.099,14.682,21.687,0.353,0.117975128277811,0.0191089059036873,1,4
1899,-1,52.229,0.835,3.5,0.482,7.226,0.109,16.042,18.778,0.366,0.0776275184380693,0.0137763636960016,1,2
1900,1,49.866,1.351,3.932,0.561,7.776,0.135,14.397,21.354,0.323,0.137871836192405,0.00373564376385251,0,4
1901,1,50.27477,1.62711,3.75417,0.11615,7.51945,0.03131,13.64409,22.22303,0.38178,0.121853438048039,0.0174230482037667,0,4
1902,1,48.798,1.347,5.228,0.336,7.162,0.099,13.737,21.247,0.423,0.158837065407814,0.0313032440056417,0,4
1903,1,50.793,0.97,3.611,0.367,6.777,0.156,14.763,21.544,0.339,0.108327550779582,0.00133620369683023,1,6
1904,1,53.775,0.123,2.485,0.251,4.498,0.063,17.004,21.529,0.232,0.0440784526176654,0.0261274897657298,1,5
1905,1,49.085,1.8235,5.857,0.31,7.611,0.1415,13.859,20.533,0.524,0.174151350661911,1e-07,0,4
1906,-1,51.721,1.003,3.997,0.386,6.232,0.117,15.718,19.954,0.523,0.0978043759701228,1e-07,1,6
1907,1,48.385,2.506,5.163,0.017,6.982,0.096,12.897,22.892,0.412,0.182798243050498,0.0333004231311707,0,1
1908,1,49.397,1.594,5.835,0.291,7.1,0.17,13.71,20.894,0.463,0.161493698400497,0.00952206634438355,0,4
1909,-1,52.271,0.5,2.297,0.386,5.201,0.162,16.821,22.028,0.21955,0.0760324790803906,0.0393391094096313,1,5
1910,-1,50.896,1.402,4.761,0.231,7.169,0.139,14.847,20.218,0.442,0.125904406969221,1e-07,1,6
1911,1,51.331,1.641,2.463,0.023,5.843,0.06,13.151,24.071,0.475,0.0787123440344384,0.0173414414206109,1,0
1912,1,49.157,2.066,4.997,0.649,7.252,0.11,13.219,21.798,0.403,0.164320545825661,0.0204779519386859,0,1
